年度,季度,項目,數值,備註,download_timestamp,process_timestamp
114,Q3,解約金,395000,,2026-05-23 22:01:52,2026-05-23 22:01:52
114,Q3,總保費收入,660000,,2026-05-23 22:01:52,2026-05-23 22:01:52
114,Q3,保險給付總額,630000,,2026-05-23 22:01:52,2026-05-23 22:01:52
114,Q3,新契約保費_FYP,220000,,2026-05-23 22:01:52,2026-05-23 22:01:52
114,Q3,淨現金流,30000,,2026-05-23 22:01:52,2026-05-23 22:01:52
114,Q4,解約金,365000,流動性改善,2026-05-23 22:01:52,2026-05-23 22:01:52
114,Q4,總保費收入,689900,流動性改善,2026-05-23 22:01:52,2026-05-23 22:01:52
114,Q4,保險給付總額,665000,流動性改善,2026-05-23 22:01:52,2026-05-23 22:01:52
114,Q4,新契約保費_FYP,222000,流動性改善,2026-05-23 22:01:52,2026-05-23 22:01:52
114,Q4,淨現金流,24900,流動性改善,2026-05-23 22:01:52,2026-05-23 22:01:52
115,Q1,解約金,481500,2026 Q1 新聞對應,2026-05-23 22:01:52,2026-05-23 22:01:52
115,Q1,總保費收入,795000,2026 Q1 新聞對應,2026-05-23 22:01:52,2026-05-23 22:01:52
115,Q1,保險給付總額,699200,2026 Q1 新聞對應,2026-05-23 22:01:52,2026-05-23 22:01:52
115,Q1,新契約保費_FYP,368300,2026 Q1 新聞對應,2026-05-23 22:01:52,2026-05-23 22:01:52
115,Q1,淨現金流,95800,2026 Q1 新聞對應,2026-05-23 22:01:52,2026-05-23 22:01:52
